Filename, Size (KB), Total Time (ms),, Avg Time (ms),,
,, HtmlContentExtractor, Jericho, HtmlContentExtractor, Jericho
test8.html, 0.0, 0, 5, 0.0, 0.05
test5.html, 0.4, 1, 7, 0.01, 0.07
script2.html, 0.41, 2, 5, 0.02, 0.05
test6.html, 0.42, 1, 5, 0.01, 0.05
textarea1.html, 0.51, 7, 5, 0.07, 0.05
new1.html, 0.79, 2, 8, 0.02, 0.08
script1.html, 1.04, 4, 10, 0.04, 0.1
test7.html, 1.72, 3, 15, 0.03, 0.15
test2.html, 4.25, 8, 4, 0.08, 0.04
test1.html, 32.54, 44, 84, 0.44, 0.84
LinkedIn.htm, 47.18, 63, 88, 0.63, 0.88
stkofl1.htm, 56.12, 98, 143, 0.98, 1.43
ifwd1.htm, 88.41, 130, 216, 1.3, 2.16
mswin1.htm, 93.62, 146, 286, 1.46, 2.86
htmlContent.html, 97.66, 118, 187, 1.18, 1.87
test4.html, 100.04, 164, 255, 1.64, 2.55
toi2.htm, 148.18, 240, 324, 2.4, 3.24
cnn1.htm, 181.16, 249, 403, 2.49, 4.03
toi1.htm, 216.88, 283, 537, 2.83, 5.37
Yahoo.htm, 261.13, 405, 466, 4.05, 4.66
search.html, 262.67, 448, 388, 4.48, 3.88