Filename, Size (KB), Total Time (ms),,, Size (KB), Avg Time (ms),,,
,, SimpleHtmlContentExtractor, HtmlContentExtractor, Jericho,, SimpleHtmlContentExtractor, HtmlContentExtractor, Jericho
test8.html, 0.0, 0, 0, 5, 0.0, 0.0, 0.0, 0.05
test5.html, 0.4, 1, 1, 7, 0.4, 0.01, 0.01, 0.07
script2.html, 0.41, 1, 1, 4, 0.41, 0.01, 0.01, 0.04
test6.html, 0.42, 1, 1, 4, 0.42, 0.01, 0.01, 0.04
textarea1.html, 0.51, 1, 2, 5, 0.51, 0.01, 0.02, 0.05
new1.html, 0.79, 2, 2, 8, 0.79, 0.02, 0.02, 0.08
script1.html, 1.04, 2, 4, 5, 1.04, 0.02, 0.04, 0.05
test7.html, 1.72, 4, 4, 15, 1.72, 0.04, 0.04, 0.15
test2.html, 4.25, 5, 10, 5, 4.25, 0.05, 0.1, 0.05
test1.html, 32.54, 46, 68, 74, 32.54, 0.46, 0.68, 0.74
LinkedIn.htm, 47.18, 56, 74, 75, 47.18, 0.56, 0.74, 0.75
stkofl1.htm, 56.12, 72, 104, 137, 56.12, 0.72, 1.04, 1.37
ifwd1.htm, 88.41, 131, 136, 196, 88.41, 1.31, 1.36, 1.96
mswin1.htm, 93.62, 112, 142, 266, 93.62, 1.12, 1.42, 2.66
htmlContent.html, 97.66, 141, 193, 173, 97.66, 1.41, 1.93, 1.73
test4.html, 100.04, 137, 195, 240, 100.04, 1.37, 1.95, 2.4
toi2.htm, 148.18, 191, 210, 306, 148.18, 1.91, 2.1, 3.06
cnn1.htm, 181.16, 223, 292, 369, 181.16, 2.23, 2.92, 3.69
toi1.htm, 216.88, 253, 382, 457, 216.88, 2.53, 3.82, 4.57
Yahoo.htm, 261.13, 279, 381, 426, 261.13, 2.79, 3.81, 4.26
search.html, 262.67, 285, 526, 270, 262.67, 2.85, 5.26, 2.7
drools.htm, 540.54, 737, 832, 1217, 540.54, 7.37, 8.32, 12.17
optaplanner.htm, 1008.51, 1431, 1658, 2457, 1008.51, 14.31, 16.58, 24.57
hibernate.htm, 1605.23, 2068, 2303, 3193, 1605.23, 20.68, 23.03, 31.93
redhat.htm, 2204.82, 2959, 3305, 4684, 2204.82, 29.59, 33.05, 46.84