Filename, Size (KB), Total Time (ms),,,, Size (KB), Avg Time (ms),,,,
,, SimpleHtmlContentExtractor, HtmlContentExtractor, Jericho,, SimpleHtmlStreamReader, SimpleHtmlContentExtractor, HtmlContentExtractor, Jericho
test8.html, 0.0, 0, 0, 4, 0.0, 0.0, 0.0, 0.04
test5.html, 0.4, 1, 1, 7, 0.4, 0.01, 0.01, 0.07
script2.html, 0.41, 1, 1, 4, 0.41, 0.01, 0.01, 0.04
test6.html, 0.42, 1, 1, 4, 0.42, 0.01, 0.01, 0.04
textarea1.html, 0.51, 1, 1, 4, 0.51, 0.01, 0.01, 0.04
new1.html, 0.79, 2, 2, 8, 0.79, 0.02, 0.02, 0.08
script1.html, 1.04, 1, 3, 6, 1.04, 0.01, 0.03, 0.06
test7.html, 1.72, 5, 4, 18, 1.72, 0.05, 0.04, 0.18
test2.html, 4.25, 7, 10, 5, 4.25, 0.07, 0.1, 0.05
test1.html, 32.54, 48, 51, 101, 32.54, 0.48, 0.51, 1.01
LinkedIn.htm, 47.18, 52, 61, 81, 47.18, 0.52, 0.61, 0.81
stkofl1.htm, 56.12, 74, 95, 135, 56.12, 0.74, 0.95, 1.35
ifwd1.htm, 88.41, 111, 130, 201, 88.41, 1.11, 1.3, 2.01
mswin1.htm, 93.62, 142, 144, 248, 93.62, 1.42, 1.44, 2.48
htmlContent.html, 97.66, 145, 173, 225, 97.66, 1.45, 1.73, 2.25
test4.html, 100.04, 140, 159, 242, 100.04, 1.4, 1.59, 2.42
toi2.htm, 148.18, 191, 192, 306, 148.18, 1.91, 1.92, 3.06
cnn1.htm, 181.16, 227, 255, 403, 181.16, 2.27, 2.55, 4.03
toi1.htm, 216.88, 285, 349, 487, 216.88, 2.85, 3.49, 4.87
Yahoo.htm, 261.13, 302, 351, 465, 261.13, 3.02, 3.51, 4.65
search.html, 262.67, 292, 450, 285, 262.67, 2.92, 4.5, 2.85
drools.htm, 540.54, 788, 738, 1283, 540.54, 7.88, 7.38, 12.83
optaplanner.htm, 1008.51, 1463, 1532, 2607, 1008.51, 14.63, 15.32, 26.07
hibernate.htm, 1605.23, 2123, 2096, 3443, 1605.23, 21.23, 20.96, 34.43
redhat.htm, 2204.82, 3115, 3057, 4906, 2204.82, 31.15, 30.57, 49.06